orcid,gender,career_age_to_current
0000-0002-2142-983X,female,
0000-0001-6582-4041,male,
0000-0002-3775-857,female,
0000-0002-3775-8574,female,
0000-0003-4549-588X,male,7
0000-0001-9141-090X,male,
0000-0003-1355-892X,male,8
0000-0001-7620-8973,female,
0000-0002-3927-2084,female,7
0000-0003-4495-8205,female,2
0000-0002-6294-6366,female,7
0000-0002-2597-881X,male,4
0000-0002-5574-4272,female,
0000-0002-6692-6880,female,
0000-0003-0120-4630,male,4
0000-0002-7072-5272,male,5
0000-0003-2540-1153,female,7
0000-0001-8776-2769,female,6
0000-0001-9769-1538,male,5
0000-0002-3959-1712,female,3
0000-0003-1980-6840,female,4
0000-0001-8034-7685,male,
0000-0003-0118-0413,male,
0000-0002-7112-7389,male,7
0000-0003-0834-8274,male,
0000-0002-0935-7300,female,
0000-0001-5675-3974,male,7
0000-0002-0317-7608,male,7
0000-0003-2804-127X,male,6
0000-0001-8143-9231,male,3
0000-0001-9189-9661,male,8
0000-0003-4645-3614,male,3
0000-0003-3066-2876,male,7
0000-0001-9198-5498,male,6
0000-0001-7852-7775,male,5
0000-0001-5675-3974,male,2
0000-0003-1940-6740,female,7
0000-0002-4174-2786,male,
0000-0003-1824-1067,female,7
0000-0002-9185-3994,female,7
0000-0001-8387-4966,female,6
0000-0002-9185-3994,female,6
0000-0002-7250-3569,female,6
0000-0003-4379-8967,female,
0000-0002-3522-8932,male,4
0000-0002-7250-3569,female,4
0000-0001-6870-0300,female,4
0000-0002-7250-3569,female,
0000-0002-6300-1647,male,
0000-0003-1361-7109,male,
0000-0003-0834-8274,male,4
0000-0002-9185-3994,female,
0000-0002-5574-4272,female,6
0000-0002-2597-881X,male,
0000-0003-4503-8494,female,4
0000-0001-7840-4695,female,
0000-0003-1980-6840,female,7
0000-0001-7840-4695,female,4
0000-0001-5336-2943,female,7
0000-0001-9396-2142,female,2
0000-0001-8034-7685,male,7
0000-0001-6878-1235,female,
0000-0001-9028-338X,male,6
0000-0002-8849-6746,female,
0000-0001-6878-1235,female,4
0000-0001-7183-2638,female,4
0000-0001-7183-2638,male,3
0000-0002-2095-7534,female,3
000-0001-5963-2246,female,5
0000-0002-0117-7444,female,
0000-0002-0746-927X,male,3
0000-0001-7058-5399,male,6
0000-0001-6638-683X,female,4
0000-0002-1134-8585,male,4
0000-0001-9987-6712,male,
0000-0002-1134-8585,male,2
0000-0002-4096-8601,male,3
0000-0003-4379-8967,female,4
0000-0002-3882-457X,female,
0000-0002-4331-2202,female,3
0000-0002-0746-927X,male,6
0000-0002-1297-9725,male,8
0009-0008-1003-987X,female,
0000-0001-9776-2535,male,7
0000-0003-2088-8310,male,4
0000-0002-8849-6746,female,4
0000-0002-1482-5359,male,
0000-0001-9961-7673,male,3
0000-0002-6078-3321,female,6
0000-0002-1602-2082,female,
0000-0001-7524-8260,female,
0000-0001-6355-5677,female,
0000-0002-3598-0219,female,8
0000-0003-2184-7238,female,
0000-0003-2722-1965,female,
0000-0002-3343-349X,female,
0000-0002-7334-4571,female,
0000-0002-9143-6509,female,
0000-0002-0571-0285,female,6
0000-0002-0191-3958,male,8
0000-0002-8854-4517,male,
0000-0003-4067-0511,female,3
0000-0002-0776-3030,female,6
0000-0002-7496-8570,female,2
0000-0002-9531-3899,male,3
0000-0002-2396-5871,male,3
0000-0003-2222-4630,female,
0000-0002-0646-1815,female,
0000-0002-3532-3868,male,8
0000-0001-7655-4833,female,
0000-0002-3333-5646,female,
0000-0002-6703-7647,male,2
0000-0002-3321-6137,female,3
0000-0003-4066-7531,female,
0000-0002-8977-498X,male,3
00dcv1019,male,
0000-0003-2390-083X,Unknown,
0000-0003-3398-5507,male,
0000-0003-4064-0582,male,6
0000-0003-1940-6740,female,
0000-0002-4174-2786,male,7
0000-0001-6878-1235,female,6
0000-0002-5739-4923,male,2
0000-0001-9012-6552,male,7
0000-0002-7073-9172,male,1
0000-0002-9917-9092,female,
0000-0001-6302-5705,female,7
0000-0001-6302-5705,male,7
000-0001-9198-5498,male,
0000-0002-3866-0923,male,
0000-0002-4121-1766,male,6
0000-0003-3092-5090,male,4
0000-0002-8637-9044,male,4
0000-0001-7565-4904,female,2
0000-0002-0864-7007,female,
0009-0004-1272-6762,female,
0000-0001-6280-9639,female,4
0000-0003-3247-0798,male,
0000-0002-6826-8770,male,7
0000-0002-8849-808X,male,3
0000-0003-0495-9940,male,3
0000-0002-7954-6705,male,8
0000-0003-1668-5174,male,
0000-0001-5785-1939,male,8
0000-0003-3372-6521,male,4
0000-0003-4837-0337,male,5
0000-0002-2385-6712,female,2
0000-0003-4272-6283,female,2
0000-0001-5109-6514,male,7
0000-0002-3293-5463,male,
0000-0003-4632-0301,female,8
0000-0001-7688-1439,female,5
0000-0002-4404-8116,male,3
0000-0001-7369-0602,female,4
0000-0001-6682-4246,female,3
0000-0002-6951-2923,male,7
0000-0003-1941-5786,male,6
0000-0002-8817-6355,male,7
0000-0002-9104-6674,female,3
0000-0001-9813-0433,male,
0000-0002-6571-3891,female,2
0000-0003-0297-4370,male,3
0000-0002-3602-7331,female,
0000-0002-1745-8996,male,4
0000-0002-5781-0288,male,4
0000-0003-1495-9143,male,5
0000-0002-7694-4257,male,3
0000-0002-5251-2281,male,5
0000-0003-1495-914,male,
0000-0002-7269-5433,female,7
0000-0003-3938-0330,male,7
0000-0003-4379-896,female,
0000-0001-8854-5301,female,6
0000-0002-9544-547X,female,4
0000-0001-5963-2246,female,6
0000-0002-2095-7534,female,5
0000-0002-2566-1978,female,3
0000-0002-5975-3862,male,
0000-0001-8876-0052,male,6
0000-0001-6951-7225,female,2
