organ,kaken,nsf,cihr,ec,ardc,nih
blood vasculature,62940000,0.0,0.0,2720000.0,2806976076.909997,4585407.0
bone marrow,115014411906,0.0,17258412.04,199247241.0,1100522592.1599991,14137363749.0
brain,566695145714,0.0,179062278.53,3937087673.5,2700758665.810002,94719648826.0
eye,134539715301,0.0,26481066.93,1000390920.64,494762895.07000005,15251379619.0
fallopian tube,3327906000,0.0,0.0,5412896.0,457818264.8600002,103348182.0
heart,197909398269,0.0,209421264.82,2088878468.74,1794641316.3499997,48021255774.0
kidney,138452755888,0.0,28639194.76,538383646.0,693873962.3599999,26025180482.0
knee,25902737804,0.0,5213336.16,104264289.0,139130449.24,1906649921.0
large intestine,7847818000,0.0,0.0,4412706.0,3175442529.119994,721265466.0
liver,275342412287,0.0,167334161.0,17096276208.54,401927335.7500002,54487038268.0
lung,208039652000,0.0,74842994.78999999,672395523.0,851543207.7700003,47370697019.0
lymph node,54015542443,0.0,1632149.75,52705931.0,498553662.4600002,6534733532.0
lymph vasculature,3690770000,0.0,0.0,0.0,108951231.53000002,0.0
main bronchus,439500000,16904983552.0,0.0,0.0,411792518.1500003,4054737.0
muscular system,26823023000,91682007165.0,0.0,20769680.0,6870908947.97701,371709982.0
ovary,43627014487,0.0,4773030.029999999,34921352.0,150755576.33999997,6529175563.0
pancreas,47891378000,0.0,8428564.04,127698103.0,79902836.69,9281635175.0
pelvis,2837871000,0.0,0.0,4268928.0,9332450.85,988938755.0
peripheral nervous system,4788420000,0.0,0.0,17071744.0,5919860977.996997,2335561740.0
placenta,26509204000,0.0,33169984.54,144434498.0,106536219.95000003,3640228212.0
prostate,68749135000,0.0,21864300.36,301831582.0,306085659.25000006,12732528277.0
skeletal,135197111269,0.0,157101930.67000002,560926540.0,272672986.16,16302837412.0
skin,169511030445,0.0,25538174.76,1189065221.0,512013232.0900002,18263992502.0
small intestine,28063355000,0.0,506313.0,8550488.0,1832885412.1700025,1729262965.0
spinal cord,69594597000,0.0,60782152.02,190585939.0,649714083.6900002,6103153284.0
spleen,25247211000,0.0,1572921.0,33585706.0,10205876.04,2999216626.0
thymus,44826425871,0.0,3224634.0,46301763.0,31134777.25999999,6464796621.0
trachea,4859119000,18454065.0,0.0,12816794.0,812693.31,835885868.0
ureter,1421880000,0.0,197500.0,165000.0,784308.55,429161425.0
urinary bladder,11500076000,0.0,0.0,0.0,473461511.02000034,1903866962.0
uterus,20584219047,32225240.0,1173961.0,18331936.0,99106441.42,1916656866.0
