organ,pub_ct,cit_ct
brain,1129073,36301681
pelvis,39382,460862
blood vasculature,326,8657
bone marrow,174334,5252011
eye,306681,5336058
fallopian tube,18142,266846
heart,1019527,19501222
kidney,762095,15329887
knee,141568,2478738
large intestine,10531,204088
liver,1288368,28725600
lung,688820,14009431
lymph node,154950,3325388
lymph vasculature,214,8885
main bronchus,668,2044
muscular system,2029,31782
ovary,93764,2251351
pancreas,99427,2171132
peripheral nervous system,34753,835163
placenta,86872,1934916
prostate,174800,3671783
skeletal,284538,8581991
skin,611054,11687148
small intestine,68140,1498261
spinal cord,161645,4159877
spleen,125280,3484733
thymus,62054,2082347
trachea,91543,1281223
ureter,62702,593136
urinary bladder,133489,2082534
uterus,71489,1258343
