country_code,count
AD,2
AE,435
AF,11
AG,65
AL,15
AM,49
AO,4
AR,1096
AT,2933
AU,14466
AZ,46
BA,69
BB,13
BD,488
BE,3952
BF,40
BG,285
BH,44
BI,10
BJ,10
BM,1
BN,22
BO,19
BR,16105
BS,2
BT,6
BW,26
BY,75
CA,12751
CD,36
CF,1
CG,12
CH,5831
CI,10
CL,1066
CM,112
CN,62720
CO,945
CR,57
CU,74
CV,2
CW,4
CY,228
CZ,1832
DE,19896
DK,4698
DO,12
DZ,75
EC,152
EE,151
EG,2792
ER,5
ES,14497
ET,778
FI,2523
FJ,9
FK,1
FO,6
FR,12112
GA,5
GB,25287
GD,23
GE,96
GF,6
GH,292
GI,3
GL,5
GM,19
GN,5
GP,11
GR,2305
GT,22
GW,5
GY,1
HN,10
HR,744
HT,3
HU,1271
ID,909
IE,1791
IL,2432
IM,1
IN,8722
IQ,202
IR,5050
IS,163
IT,22408
JE,4
JM,24
JO,446
JP,19956
KE,162
KG,27
KH,87
KN,21
KR,16259
KW,129
KY,2
KZ,166
LA,3
LB,328
LC,3
LI,2
LK,213
LS,1
LT,322
LU,135
LV,134
LY,12
MA,254
MC,16
MD,6
ME,7
MG,17
MK,45
ML,9
MM,28
MN,31
MQ,11
MR,4
MT,49
MU,11
MV,5
MW,53
MX,2914
MY,1521
MZ,20
NA,16
NC,6
NE,8
NG,571
NI,8
NL,9239
NO,2523
NP,223
NZ,1434
OM,108
PA,47
PE,364
PF,6
PG,5
PH,190
PK,1397
PL,7299
PS,51
PT,3913
PY,23
QA,407
RE,11
RO,1578
RS,758
RU,5458
RW,33
SA,2335
SB,1
SC,2
SD,53
SE,5813
SG,1877
SI,529
SK,438
SL,6
SN,20
SO,10
SR,6
SS,6
ST,15
SV,3
SX,4
SY,60
SZ,2
TC,1
TD,1
TG,11
TH,1869
TJ,30
TN,407
TO,2
TR,9385
TT,32
TZ,167
UA,331
UG,221
US,103179
UY,147
UZ,22
VC,1
VE,36
VG,1
VN,423
WS,3
XK,16
YE,33
ZA,1576
ZM,65
ZW,42
