ID,Age,Gender,Ethnicity/Race,Country of Residence,Career,Discipline
1,35 - 44,Man,White,North America,Other-Information scientist,"Informatics,Other-Information Science"
2,35 - 44,Man,White,North America,Data scientist,"Biology,Molecular biology,Informatics,Computer science-"
3,25 - 34,Woman,Asian,North America,Data scientist,Informatics
4,25 - 34,Woman,Asian,North America,Other-Biologist,"Biology,Informatics"
5,35 - 44,Man,White,North America,Data scientist,Informatics
6,25 - 34,Woman,White,North America,unknown,I prefer not to respond.
7,55 - 64,Man,White,North America,Other-Immunologist,Pathology
8,unknown,Woman,White,North America,unknown,Pathology
9,55 - 64,Woman,unknown,Europe,unknown,"Informatics,Computer science"
10,unknown,Woman,White,North America,Other,Other
11,35 - 44,Woman,"Asian,Hispanic, Latino, or Spanish",North America,Other-Immnunologist,"Biology,Medicine"
12,65 - 74,Man,White,North America,Other-Physician-Scientist,"Biology,Molecular biology,Medicine,Clinical research"
13,55 - 64,Woman,White,North America,Other-Data generator,"Other-Genomics, population genetics"
14,35 - 44,Man,White,North America,Other-cell biologist,"Biology,Molecular biology,Clinical research,Pathology,Informatics"
15,35 - 44,Woman,White,North America,Other-Biomedical visualization,"Medicine,Other-General sciences"
16,35 - 44,Man,White,North America,Data scientist,Informatics
17,55 - 64,Man,unknown,Australia/Oceania,"Anatomist,Other-Plastic Surgery",Medicine
18,65 - 74,Man,White,North America,"Data scientist,Other-Experimentalist","Biology,Molecular biology,Informatics"
19,25 - 34,Man,unknown,Europe,Other-Ontology editor,"Biology,Molecular biology"
20,75 - 84,Man,unknown,Europe,Data scientist,"Biology,Informatics,Computer science"
21,35 - 44,Woman,White,North America,Other-Medical Artist,"Medicine,Other"
22,45 - 54,Woman,White,North America,Other-basic research,Molecular biology
23,unknown,unknown,unknown,unknown,unknown,unknown
24,unknown,unknown,unknown,unknown,unknown,unknown
25,unknown,unknown,unknown,unknown,unknown,unknown
26,unknown,unknown,unknown,unknown,unknown,unknown
27,unknown,unknown,unknown,unknown,unknown,unknown
28,unknown,unknown,unknown,unknown,unknown,unknown
29,unknown,unknown,unknown,unknown,unknown,unknown
30,unknown,unknown,unknown,unknown,unknown,unknown
31,45 - 54,Woman,White,North America,"Anatomist,Other-bioscience","Molecular biology,Biochemistry,Informatics"
32,unknown,unknown,unknown,unknown,unknown,unknown
33,unknown,unknown,unknown,unknown,unknown,unknown
34,35 - 44,Woman,White,North America,Other,"Biology,Molecular biology"
Note that unknown refer to no respond.,,,,,,
