pubyear,WoS publications,PubMed publications,publications
1900,566,,566
1901,565,,565
1902,594,,594
1903,642,1,643
1904,743,,743
1905,699,,699
1906,732,,732
1907,750,,750
1908,816,,816
1909,757,,757
1910,755,,755
1911,811,,811
1912,940,,940
1913,917,1,918
1914,801,,801
1915,643,,643
1916,643,,643
1917,677,,677
1918,533,,533
1919,610,,610
1920,870,,870
1921,950,,950
1922,923,,923
1923,1089,,1089
1924,1270,,1270
1925,1378,17,1394
1926,1268,22,1290
1927,1560,21,1580
1928,1687,16,1702
1929,1669,23,1691
1930,1812,18,1829
1931,1623,20,1642
1932,1768,7,1775
1933,1734,24,1756
1934,1707,13,1720
1935,1739,11,1749
1936,1729,14,1743
1937,1735,10,1744
1938,1755,10,1765
1939,1685,8,1693
1940,1435,8,1442
1941,1495,,1495
1942,1442,6,1448
1943,1310,3,1312
1944,1082,4,1086
1945,1921,1626,2987
1946,2179,5737,5344
1947,2762,7020,6694
1948,3094,7693,7674
1949,3770,7410,8030
1950,4051,10777,11026
1951,4204,12013,12193
1952,4317,13021,13298
1953,4140,14180,13749
1954,4658,14852,14559
1955,4171,15196,14852
1956,4404,14501,14574
1957,4891,14667,15044
1958,5493,13589,14659
1959,5717,14127,14882
1960,6058,13495,14456
1961,7882,15007,15929
1962,8098,15919,16868
1963,8581,23243,22009
1964,9076,32097,26279
1965,11547,15828,18606
1966,12767,3168,15196
1967,13141,3471,15813
1968,12914,3574,15706
1969,15010,3425,17307
1970,14422,3215,16689
1971,16407,3297,18700
1972,18747,3309,20811
1973,19680,3182,21608
1974,22034,3227,23457
1975,22356,3278,24388
1976,23522,3372,25563
1977,28094,3177,29296
1978,28721,3017,29937
1979,29954,3093,31205
1980,31370,2898,32603
1981,32833,2775,34065
1982,34721,2628,35811
1983,36290,2638,37446
1984,37072,2359,38140
1985,38901,2507,40034
1986,41819,2425,42943
1987,42238,2589,43475
1988,40736,2792,42196
1989,37963,2743,39384
1990,44528,2719,45949
1991,79637,2393,80934
1992,82307,2103,83281
1993,88050,2054,89029
1994,92967,2017,93934
1995,96796,1941,97698
1996,103505,1889,104367
1997,108686,2029,109639
1998,112695,1864,113570
1999,117316,1796,118098
2000,118746,1483,119322
2001,119402,1288,119951
2002,124426,1252,125006
2003,132354,1222,132955
2004,144678,1256,145246
2005,156210,1240,156813
2006,165362,1289,165963
2007,178517,1581,179309
2008,190708,2185,191691
2009,208145,2712,209335
2010,220870,3707,222817
2011,233722,5143,236446
2012,247294,7257,250742
2013,259041,25043,263508
2014,271527,44182,277197
2015,280445,52649,286643
2016,296234,66085,303763
2017,312155,75462,320856
2018,316566,80242,325651
2019,309644,87540,319993
2020,316149,103118,329199
2021,314995,122013,329974
2022,8511,129173,134823
2023,,30476,30476
